Existing ID,Title,New Number
H264,"Soldiers of Christ, arise",
H263,Sound the battle cry,
H140,Sowing in the morning,
H237,Stand up! Stand up,
H188,Standing on the promises,
H274,Sun of my soul,
H239,Sweet hour of prayer!,
H212,"Take my life, and let it be",
H141,Take the name of Jesus,
H213,Take time to be holy,
H83,Tell me the story of Jesus,
H228,Tenderly guide us,
H54,The Church's one foundation,
H55,The God of Abraham,
H142,The great physician,
H281,The head that once,
H56,The King of love my Shepherd,
H182,"The Lord's my Shepherd, I'll",
H298,The Lord's our Rock,
H57,The love of God is greater,
H58,The master hath come,
H252,The Son of God goes,
H270,The voice that breathed,
H104,There is a fountain filled,
H143,There is no love like the love,
H59,There shall be showers,
H127,There were ninety and nine,
H128,There will never be,
H144,There's a  not a friend like,
H120,There's a  work for Jesus,
H119,There's a call comes ringing,
H279,There's a land that is fairer,
H155,There's a peace in my heart,
H115,"Thine be the glory, risen",
H198,Thine for ever: God of love,
H113,This is the day the Lord,
H253,Thou Christ of burning,
H254,Through all the changing,
H229,"Thy way, not mine",
H183,Tis so sweet to trust,
H125,Tis the grandest theme,
H60,To God be the glory,
H238,To the work,
H145,We have heard the joyful,
H61,We praise thee O God,
H255,We rest on thee,
H286,We sing the realms,
H195,What a fellowship,
H256,What a Friend we have,
H105,What can wash away,
H275,When all my labours and trials,
H68,When I saw the cleansing,
H97,When I survey,
H67,When morning gilds the skies,
H184,"When peace, like a river",
H185,When sitting or when,
H266,When the Lord shall come,
H117,When the morning breaks,
H280,When the trumpet of the Lord,
H186,When upon life's billows,
H146,When we walk with the Lord,
H84,While shepherds watched,
H91,Who can cheer the heart like Jesus,
H292,Who have I who have I,
H92,Who is He in yonder stall,
H214,Who is on the Lord's side?,
H215,Whosoever heareth!,
H181,Will your anchor,
H62,With harps and with vials,
H216,"Work, for the night is coming",
H167,Would you be free from your,
H154,Ye servants of God,
H168,Years I spent in vanity and pride,
H217,Yield not to temptation,
